claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,New_Amsterdam_-LRB-TV_series-RRB-,No_One_-LRB-Game_of_Thrones-RRB-,Book_of_the_Stranger,Game_of_Thrones_-LRB-season_5-RRB-,The_Broken_Man
150448,The_O.C._-LRB-season_3-RRB-,Quetzal_-LRB-disambiguation-RRB-,The_O.C._-LRB-season_4-RRB-,Genre_fiction,Premiere_-LRB-The_O.C.-RRB-
214861,Research_and_Humanities_in_Medical_Education,American_Academy_of_Arts_and_Letters_Gold_Medals,Studio,Zenitism,Modernisme
156709,3LW,Jeannie_Mai,Tamera_Mowry,Ven_Conmigo_-LRB-song-RRB-,That's_So_Raven_-LRB-season_2-RRB-
129629,Homeland_-LRB-season_5-RRB-,Homeland_-LRB-season_4-RRB-,Homeland_-LRB-season_3-RRB-,Homeland_-LRB-season_6-RRB-,Homeland_-LRB-season_2-RRB-
33078,KDrew,TD_Garden,Dennis_Johnson,Red_Auerbach,New_York_Knicks
6744,Fredric_M._Frank,Debra_Paget,The_King_of_Kings_-LRB-1927_film-RRB-,The_Ten_Commandments_-LRB-1923_film-RRB-,Katherine_Orrison
226034,Wii_Sports,Minecraft,Super_Mario_Land,Tetris,Gerasimov
40190,Shine_On-COLON-_The_Ultimate_Collection,Jeff_Beck,Summertime-COLON-_Willie_Nelson_Sings_Gershwin,Janet_Perr,Gary_Corbett
76253,Josh_Hutcherson,Laurie_Spiegel,Peter_and_the_Starcatchers,Carl_Brutananadilewski,Master_Shake
