claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,"Łęczyce,_Greater_Poland_Voivodeship",French_ship_Junon_-LRB-1748-RRB-,Four_Steps_to_Death,Gajaraja_Manthram,Fozzano
150448,"Łęczyce,_Greater_Poland_Voivodeship",French_ship_Junon_-LRB-1748-RRB-,Four_Steps_to_Death,Gajaraja_Manthram,Fozzano
214861,History_of_art,"Łęczyce,_Greater_Poland_Voivodeship",GP2_Asia_Series,Four_Steps_to_Death,Gajaraja_Manthram
156709,"Łęczyce,_Greater_Poland_Voivodeship",French_ship_Junon_-LRB-1748-RRB-,Four_Steps_to_Death,Gajaraja_Manthram,Fozzano
129629,Homeland_-LRB-TV_series-RRB-,"Łęczyce,_Greater_Poland_Voivodeship",GP2_Asia_Series,Football_Manager_-LRB-1982_series-RRB-,Four_Steps_to_Death
33078,List_of_Boston_Celtics_head_coaches,Boston_Celtics,KDrew,Red_Auerbach,Gajaraja_Manthram
6744,Katherine_Orrison,The_Nth_Commandment,The_Ten_Commandments_-LRB-1923_film-RRB-,The_King_of_Kings_-LRB-1927_film-RRB-,Fredric_M._Frank
226034,"Łęczyce,_Greater_Poland_Voivodeship",French_ship_Junon_-LRB-1748-RRB-,Four_Steps_to_Death,Gajaraja_Manthram,Fozzano
40190,Cyndi_Lauper,"Łęczyce,_Greater_Poland_Voivodeship",Frifot,Four_Steps_to_Death,Gajaraja_Manthram
76253,The_Hunger_Games,Laurie_Spiegel,Exodus_-LRB-Andy_Hunter_album-RRB-,Master_Shake,Carl_Brutananadilewski
